Comment,Designator,Footprint,LCSC Part #
1N4148WS,D1,SOD323-R,C2128
1k5,R14,R0402,C25867
4k7,R4 R5,R0402,C25900
5k1,R8 R9,R0402,C25905
10k,R13,R0402,C25744
20p,C3 C4,C0402,C1554
22,R11 R12,R0402,C25092
100,R10,R0402,C25076
100k,R3 R7,R0402,C25741
100n,C1 C2 C5 C6 C7,C0402,C307331
220,R1 R2 R6,R0402,C25091
AP7333-33SAG-7,IC2,SOT23,C150746
BLUE,LED3,CHIP-LED0603,C118339
O3225100MEDA4SC,Y1,O3225100MEDA4SC,C389817
STM32F103C8T6,IC1,QFP48-7X7-0.5,C8734
WHITE,LED1 LED2,CHIP-LED0603,C138545
USB-C,X1,USBC,C709357